id,wallet_address,portfolio_value,nft_collection,collection_value,holding_balance,opensea,explore
dingaling,0x54be3a794282c030b15e43ae2bb182e14c409c5e,37.5M,Bored Ape Yacht Club,24.2M,110,https://opensea.io/0x54be3a794282c030b15e43ae2bb182e14c409c5e?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x54be3a794282c030b15e43ae2bb182e14c409c5e
JRNYcrypto,0x1b523dc90a79cf5ee5d095825e586e33780f7188,30.2M,Bored Ape Yacht Club,23.6M,107,https://opensea.io/0x1b523dc90a79cf5ee5d095825e586e33780f7188?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x1b523dc90a79cf5ee5d095825e586e33780f7188
0x98e711f31e,0x98e711f31e49c2e50c1a290b6f2b1e493e43ea76,18.8M,Bored Ape Yacht Club,16.1M,73,https://opensea.io/0x98e711f31e49c2e50c1a290b6f2b1e493e43ea76?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x98e711f31e49c2e50c1a290b6f2b1e493e43ea76
0xd38a87d7b6,0xd38a87d7b690323ef6883e887614502abcf9b1eb,17.1M,Bored Ape Yacht Club,15.9M,72,https://opensea.io/0xd38a87d7b690323ef6883e887614502abcf9b1eb?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xd38a87d7b690323ef6883e887614502abcf9b1eb
0xa7ab7a265f,0xa7ab7a265f274fa664187698932d3cabb851023d,17.2M,Bored Ape Yacht Club,13.9M,63,https://opensea.io/0xa7ab7a265f274fa664187698932d3cabb851023d?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xa7ab7a265f274fa664187698932d3cabb851023d
🇹🇼🇹🇼🇹🇼.eth,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,23.1M,Bored Ape Yacht Club,13.4M,61,https://opensea.io/0x020ca66c30bec2c4fe3861a94e4db4a498a35872?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x020ca66c30bec2c4fe3861a94e4db4a498a35872
j1mmy_vault,0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,28.4M,Bored Ape Yacht Club,13.2M,60,https://opensea.io/0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c
FTX NFT,0x3cf9a2b7aaad51e107453e510bfd470a06205d4c,14.1M,Bored Ape Yacht Club,13M,59,https://opensea.io/0x3cf9a2b7aaad51e107453e510bfd470a06205d4c?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x3cf9a2b7aaad51e107453e510bfd470a06205d4c
0x073ff66ec9,0x073ff66ec93c4ddd98edafeaecd677a7ef61f000,20.1M,Bored Ape Yacht Club,8.81M,40,https://opensea.io/0x073ff66ec93c4ddd98edafeaecd677a7ef61f000?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x073ff66ec93c4ddd98edafeaecd677a7ef61f000
0x04f5df957c,0x04f5df957ce0405ba0264eca6130161cfaa12571,10.7M,Bored Ape Yacht Club,8.15M,37,https://opensea.io/0x04f5df957ce0405ba0264eca6130161cfaa12571?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x04f5df957ce0405ba0264eca6130161cfaa12571
0xf606719e6e,0xf606719e6e4ac5f184e702e207de3840a9c66374,8.2M,Bored Ape Yacht Club,7.93M,36,https://opensea.io/0xf606719e6e4ac5f184e702e207de3840a9c66374?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xf606719e6e4ac5f184e702e207de3840a9c66374
NFTfi Promissory Note (NFTfi),0x88341d1a8f672d2780c8dc725902aae72f143b0c,19.7M,Bored Ape Yacht Club,7.05M,32,https://opensea.io/0x88341d1a8f672d2780c8dc725902aae72f143b0c?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x88341d1a8f672d2780c8dc725902aae72f143b0c
TheSandboxGame,0x7a9fe22691c811ea339d9b73150e6911a5343dca,20M,Bored Ape Yacht Club,6.82M,31,https://opensea.io/0x7a9fe22691c811ea339d9b73150e6911a5343dca?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x7a9fe22691c811ea339d9b73150e6911a5343dca
⭐🎥🎬.eth,0x720a4fab08cb746fc90e88d1924a98104c0822cf,11.3M,Bored Ape Yacht Club,6.83M,31,https://opensea.io/0x720a4fab08cb746fc90e88d1924a98104c0822cf?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x720a4fab08cb746fc90e88d1924a98104c0822cf
ali3nVault,0xd66f8eaf84b11654a19126a98a3f55b960846dd8,8.45M,Bored Ape Yacht Club,6.61M,30,https://opensea.io/0xd66f8eaf84b11654a19126a98a3f55b960846dd8?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xd66f8eaf84b11654a19126a98a3f55b960846dd8
0x1cfb8a2e4c,0x1cfb8a2e4c2e849593882213b2468e369271dad2,5.95M,Bored Ape Yacht Club,5.94M,27,https://opensea.io/0x1cfb8a2e4c2e849593882213b2468e369271dad2?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x1cfb8a2e4c2e849593882213b2468e369271dad2
BoredSpaceApe,0xa078efb1e49bd30fc720fb8f6aadc2228b15a53d,6.17M,Bored Ape Yacht Club,5.5M,25,https://opensea.io/0xa078efb1e49bd30fc720fb8f6aadc2228b15a53d?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xa078efb1e49bd30fc720fb8f6aadc2228b15a53d
