Name,Symbol,Network,Address,Deployed,Token Address,Contract Source,Detailed Info,Token Price,Total Supply,Market Cap,Chart
ElonValentine,ELONVALENTINE,BSC,0xf82ce08ce7e5ec07fadcd3a9ef98ef326b1d004b,05 Feb 2022 01:46:24 GMT ,https://bscscan.com/token/0xf82ce08ce7e5ec07fadcd3a9ef98ef326b1d004b,https://tokensniffer.com/contract/0xf82ce08ce7e5ec07fadcd3a9ef98ef326b1d004b,https://tokensniffer.com/token/fzvnbaoxvbaqa1ad8bgxqz9i2b320pc9hazhvaz0nkjfefeg6524xf5x38sj?h=5562,0.000000000971454,"1,000,000,000,000",964,https://poocoin.app/tokens/0xf82ce08ce7e5ec07fadcd3a9ef98ef326b1d004b
Elvantis,ELV,BSC,0xf7603636267a0acbc6781c3d97e9dd244cdaa4d4,05 Feb 2022 00:51:24 GMT ,https://bscscan.com/token/0xf7603636267a0acbc6781c3d97e9dd244cdaa4d4,https://tokensniffer.com/contract/0xf7603636267a0acbc6781c3d97e9dd244cdaa4d4,https://tokensniffer.com/token/zqkxu0k0ku4ngkgq9gx9bpjbkq4v8fdc64b0p2hqdahm822nsscb29f9su2s?h=5489,0.0281645,"80,000,000","2,253,158",https://poocoin.app/tokens/0xf7603636267a0acbc6781c3d97e9dd244cdaa4d4
GOOF,GOOFY,BSC,0x2893402126cff8a1cdc1243053d94b20c622108b,11 Jun 2021 06:34:32 GMT ,https://bscscan.com/token/0x2893402126cff8a1cdc1243053d94b20c622108b,https://tokensniffer.com/contract/0x2893402126cff8a1cdc1243053d94b20c622108b,https://tokensniffer.com/token/enuvh0usxn6nkbzuzve936b2b6mns0x10lp2chsjilnoxbp5lknnl6xovu8j?h=5806,0.000,"1,000,000,000,000,000",0,https://poocoin.app/tokens/0x2893402126cff8a1cdc1243053d94b20c622108b
Dog king grandpa,DOG KING GRANDPA,BSC,0x944ac22af064e500df9863403504d0caf1173701,05 Feb 2022 01:22:45 GMT ,https://bscscan.com/token/0x944ac22af064e500df9863403504d0caf1173701,https://tokensniffer.com/contract/0x944ac22af064e500df9863403504d0caf1173701,https://tokensniffer.com/token/hss9bmnen9zx3kmsa1xx2zphvc8pokp0sx4015iixs82xbo9zl56p6cq0qx6?h=5561,0.000,"1,000,000,000,000,000",0,https://poocoin.app/tokens/0x944ac22af064e500df9863403504d0caf1173701
Mrs Wagmi,MWAGMI,BSC,0x93e433d31d477dc14a25ad16b7ffcc0f10df9138,05 Feb 2022 01:19:36 GMT ,https://bscscan.com/token/0x93e433d31d477dc14a25ad16b7ffcc0f10df9138,https://tokensniffer.com/contract/0x93e433d31d477dc14a25ad16b7ffcc0f10df9138,https://tokensniffer.com/token/h0uas0m025063i2msqqpf2b6os934noe193246ckjqzzbbxz6px28zh6d03v?h=5080,0.000,"1,000,000,000",0,https://poocoin.app/tokens/0x93e433d31d477dc14a25ad16b7ffcc0f10df9138
KOILAP,KOILAP,BSC,0x9811af298730fa308155b30d088b423116e061c6,05 Feb 2022 01:23:21 GMT ,https://bscscan.com/token/0x9811af298730fa308155b30d088b423116e061c6,https://tokensniffer.com/contract/0x9811af298730fa308155b30d088b423116e061c6,https://tokensniffer.com/token/mh4vf8c65698dzgnhvq0xz90xv6lm11lj0xd2mxvmvjsn06u64kaxkm6l8bk?h=5411,0.000,"100,000,069,000,000,000",0,https://poocoin.app/tokens/0x9811af298730fa308155b30d088b423116e061c6
FLYDOGE,FLYDOGE,BSC,0x9b519d35b5c3bfb75a1298d906700b9f2c45f6dd,06 Feb 2022 07:07:38 GMT ,https://bscscan.com/token/0x9b519d35b5c3bfb75a1298d906700b9f2c45f6dd,https://tokensniffer.com/contract/0x9b519d35b5c3bfb75a1298d906700b9f2c45f6dd,https://tokensniffer.com/token/hj16hdp20l1dj1b0ej3gzjeql196pnmpmpihvol2hxdkqx5xj5hznbs1zk22?h=5539,0.0000000000000239083,100000069000000000,"2,200",https://poocoin.app/tokens/0x9b519d35b5c3bfb75a1298d906700b9f2c45f6dd
CryptoMagnet,CROMAG,BSC,0xf8a08c34072b2155231a52e76b8c0896e841ee51,06 Feb 2022 06:06:47 GMT ,https://bscscan.com/token/0xf8a08c34072b2155231a52e76b8c0896e841ee51,https://tokensniffer.com/contract/0xf8a08c34072b2155231a52e76b8c0896e841ee51,https://tokensniffer.com/token/z45v9xvpb0sxqnjufn56d11n0e69313lnaqkjvb4xv8hka4o83fvsm6ama16?h=5302,0.00000000000978264,1000000000000000,"4,891",https://poocoin.app/tokens/0xf8a08c34072b2155231a52e76b8c0896e841ee51
BNBSmoking,BNBSMOKING,BSC,0x6b6255ba9c89b4a55afb7d8adb8c0ecbbd98da9d,06 Feb 2022 06:54:29 GMT ,https://bscscan.com/token/0x6b6255ba9c89b4a55afb7d8adb8c0ecbbd98da9d,https://tokensniffer.com/contract/0x6b6255ba9c89b4a55afb7d8adb8c0ecbbd98da9d,https://tokensniffer.com/token/3mkujlkni11j9hmbvhjsm9i119zjq5c2v9c2jvboxabjj25hv2e9iioh8uf2?h=5471,,100000000000,,https://poocoin.app/tokens/0x6b6255ba9c89b4a55afb7d8adb8c0ecbbd98da9d
ELON JET,EJ,BSC,0x51018673d89dfb4bff90d60d18d2e752f891fa35,06 Feb 2022 06:55:47 GMT ,https://bscscan.com/token/0x51018673d89dfb4bff90d60d18d2e752f891fa35,https://tokensniffer.com/contract/0x51018673d89dfb4bff90d60d18d2e752f891fa35,https://tokensniffer.com/token/16x6vkq0u2cvghdd2zfiejsjuzzch3x2k4x2i86v32neaq1nzvh64z9e3301?h=5318,0.0000663386,1000000000,"66,339",https://poocoin.app/tokens/0x51018673d89dfb4bff90d60d18d2e752f891fa35
