Name,Symbol,Network,Address,Deployed,Token Address,Contract Source,Detailed Info
Crypto-Nest!(v2),v2) (C@NEST,BSC,0x5b205cef3d4d137d5e23d1195a6c01b0369e7c9d,04 Feb 2022 05:09:26 GMT ,https://bscscan.com/token/0x5b205cef3d4d137d5e23d1195a6c01b0369e7c9d,https://tokensniffer.com/contract/0x5b205cef3d4d137d5e23d1195a6c01b0369e7c9d,https://tokensniffer.com/token/g1jnx1baipz02s260q21aun0oc2p366hdg1uo9kbx6jcx0emkehaqbhpi532?h=5249
Crypto-Nest!(v2),v2) (C@NEST,BSC,0x5b205cef3d4d137d5e23d1195a6c01b0369e7c9d,04 Feb 2022 05:09:26 GMT ,https://bscscan.com/token/0x5b205cef3d4d137d5e23d1195a6c01b0369e7c9d,https://tokensniffer.com/contract/0x5b205cef3d4d137d5e23d1195a6c01b0369e7c9d,https://tokensniffer.com/token/1djlnx1bfa4z0o32s2630gq231oan02646h19kobxuf65ejmcx0keha3qbh2?h=5013
Grimacezilla,$GRIMACEZILLA,BSC,0x0bff27b970fcc313e1157642f72a55cb8cee67d0,04 Feb 2022 05:07:14 GMT ,https://bscscan.com/token/0x0bff27b970fcc313e1157642f72a55cb8cee67d0,https://tokensniffer.com/contract/0x0bff27b970fcc313e1157642f72a55cb8cee67d0,https://tokensniffer.com/token/xjzfzniqjhqixzbbo060alc366l1qfoksnzqinc9e11bpupjofevba4akq2x?h=5821
DOLLYPAD,DP,BSC,0xaa378b11b43b79265c50ff4f9195aa1762ff4a5c,04 Feb 2022 04:53:14 GMT ,https://bscscan.com/token/0xaa378b11b43b79265c50ff4f9195aa1762ff4a5c,https://tokensniffer.com/contract/0xaa378b11b43b79265c50ff4f9195aa1762ff4a5c,https://tokensniffer.com/token/9940qv8jg66js30jqchuenl8ke1m4b1x3zelzszh6h19o496qkcnzzs9lo1b?h=5331
Cyber Tiger,CYBERTIGER,BSC,0x92021268de325657568efc9303226dfb775150b9,04 Feb 2022 04:57:41 GMT ,https://bscscan.com/token/0x92021268de325657568efc9303226dfb775150b9,https://tokensniffer.com/contract/0x92021268de325657568efc9303226dfb775150b9,https://tokensniffer.com/token/3hnxn6dnkv2ao0n1eko1cup3q31kvoazbhu0xu0nunmku542zjqq16o1xj5h?h=5541
Smart-SHIBA-!Nest!,SS-NEST,BSC,0xf32cde45390f2455b8f19179706ee89b8bc54631,04 Feb 2022 04:49:20 GMT ,https://bscscan.com/token/0xf32cde45390f2455b8f19179706ee89b8bc54631,https://tokensniffer.com/contract/0xf32cde45390f2455b8f19179706ee89b8bc54631,https://tokensniffer.com/token/z0nb2aus105cohxznslo1m1jv5z6h6qdhqx4kmaavhcj8llcv4jb1s4mki06?h=5548
King Piglet,KINGPIGGY,BSC,0x9d6e775723d2520fec1b43afc6fd28fa94757ef7,04 Feb 2022 04:52:26 GMT ,https://bscscan.com/token/0x9d6e775723d2520fec1b43afc6fd28fa94757ef7,https://tokensniffer.com/contract/0x9d6e775723d2520fec1b43afc6fd28fa94757ef7,https://tokensniffer.com/token/h2kafq4q1gqdn028n1nxu3zagbf6jogs09zibkdzd2nvz9uhsmql1q8a5zpq?h=5632
BASE PROTOCOL,BASE.P,AVAX,0xd6468471f075944a276f8df41bc1d2f04f903e29,03 Feb 2022 22:31:55 GMT ,https://bscscan.com/token/0xd6468471f075944a276f8df41bc1d2f04f903e29,https://tokensniffer.com/contract/0xd6468471f075944a276f8df41bc1d2f04f903e29,https://tokensniffer.com/token/i2ekcskfvsgq6zcxcoq1hss9nfqkgmzv2zgsl6jgb62nmzu3xlsizhxi0anh?h=6007
marketish,MARKETISH,BSC,0x6199e5ef623668dc76ad835ea6828d75138e5395,04 Feb 2022 04:23:38 GMT ,https://bscscan.com/token/0x6199e5ef623668dc76ad835ea6828d75138e5395,https://tokensniffer.com/contract/0x6199e5ef623668dc76ad835ea6828d75138e5395,https://tokensniffer.com/token/kf6u5hhpa1azkngp0kokv2boqoki92v0l1a59kvinv2q1c60vg4ea1g0l3h1?h=5327
Baby Olympic Pin,BABYOLYMPICPIN,BSC,0x9a48ff8e9fc64149f2e6167099c75808c4814c8c,04 Feb 2022 04:29:05 GMT ,https://bscscan.com/token/0x9a48ff8e9fc64149f2e6167099c75808c4814c8c,https://tokensniffer.com/contract/0x9a48ff8e9fc64149f2e6167099c75808c4814c8c,https://tokensniffer.com/token/he9lsvzzvgahzbks6shznauk46lokqgxhohbqp185pfuecvxmvbsv6oslbvb?h=6134
META STONKS CAPITAL,$MSCL,BSC,0x923e08f2568dba29b1834b4c5749117e05f95c3d,04 Feb 2022 03:51:32 GMT ,https://bscscan.com/token/0x923e08f2568dba29b1834b4c5749117e05f95c3d,https://tokensniffer.com/contract/0x923e08f2568dba29b1834b4c5749117e05f95c3d,https://tokensniffer.com/token/hn05daxpglvznp15ik8vf2dj9dnhj6mv0sjeosbi1qsh6p6eqax1zghm1b02?h=5584
PHARAKEYS,PHARAKEYS,BSC,0x2e4197af82e9e529bfead1e06a1e668ed96ebd08,04 Feb 2022 04:14:59 GMT ,https://bscscan.com/token/0x2e4197af82e9e529bfead1e06a1e668ed96ebd08,https://tokensniffer.com/contract/0x2e4197af82e9e529bfead1e06a1e668ed96ebd08,https://tokensniffer.com/token/nas46hqf9zcvna4h88aoeu1nhjdza9d2f6ea3xdk896akkvap2hdkajpg2xv?h=5543
SalaryMining,SM,BSC,0x9391bda4347ded4c00c5ad2b8542da3c900f8a4f,04 Feb 2022 03:59:14 GMT ,https://bscscan.com/token/0x9391bda4347ded4c00c5ad2b8542da3c900f8a4f,https://tokensniffer.com/contract/0x9391bda4347ded4c00c5ad2b8542da3c900f8a4f,https://tokensniffer.com/token/hee5c40h6j29s0sq2a2smbmx3xeb1l92funjdv1snm290bhxxozgv9is3ddz?h=5439
EkkoToken,EKKOTOKEN,BSC,0xc6bb972bc34d45961d95b58df2aa7845f3afe811,03 Feb 2022 22:34:16 GMT ,https://bscscan.com/token/0xc6bb972bc34d45961d95b58df2aa7845f3afe811,https://tokensniffer.com/contract/0xc6bb972bc34d45961d95b58df2aa7845f3afe811,https://tokensniffer.com/token/bk3jpjh5qnjb0sm2s1ohk62h5p1mgjl1vcu2zn9u95q3vsgp1z309z4av6e6?h=5306
LiChun,LICHUN,BSC,0x45d504274be9af9638a42338fda5373c8a6a6cea,04 Feb 2022 04:06:23 GMT ,https://bscscan.com/token/0x45d504274be9af9638a42338fda5373c8a6a6cea,https://tokensniffer.com/contract/0x45d504274be9af9638a42338fda5373c8a6a6cea,https://tokensniffer.com/token/dcogs121dxsn8qsijah9zhmk03v9sn0oco0vz42d95m10iq0bv9ke9kbia49?h=5310
Moonstar,MOONSTAR,BSC,0x25e8d6e31e978229e3763d9cc79cc677a0e92d20,04 Feb 2022 03:36:14 GMT ,https://bscscan.com/token/0x25e8d6e31e978229e3763d9cc79cc677a0e92d20,https://tokensniffer.com/contract/0x25e8d6e31e978229e3763d9cc79cc677a0e92d20,https://tokensniffer.com/token/fodn3c3uo1a8v2ka06ahqvnnfha0qk0em2hbbqh4bbk8u5qq9xgeahnp2n4x?h=5519
GoldMedalShib,GOLDMEDALSHIB,BSC,0x9d2a3a02e329bc4237f1f0abfe3bea4f46f48ef7,04 Feb 2022 03:46:08 GMT ,https://bscscan.com/token/0x9d2a3a02e329bc4237f1f0abfe3bea4f46f48ef7,https://tokensniffer.com/contract/0x9d2a3a02e329bc4237f1f0abfe3bea4f46f48ef7,https://tokensniffer.com/token/h2n3i9o5ocp509xg3na0onhjbsn0q4zu6zx9j8za8l0jmla9szdskzs8vazq?h=5581
Galaxy Zora,GALAXYZORA,BSC,0xaf77a4614a72fc13edaf225245198352e032999e,04 Feb 2022 03:40:56 GMT ,https://bscscan.com/token/0xaf77a4614a72fc13edaf225245198352e032999e,https://tokensniffer.com/contract/0xaf77a4614a72fc13edaf225245198352e032999e,https://tokensniffer.com/token/9zplqq95skec446s9qnzbc560a829znlfenm1n5cse16hv01naexe0nhmhha?h=5360
BitMusic,BITMUSIC,BSC,0x1e98303e50a165b9ddbf260478f924827374a73c,04 Feb 2022 02:56:08 GMT ,https://bscscan.com/token/0x1e98303e50a165b9ddbf260478f924827374a73c,https://tokensniffer.com/contract/0x1e98303e50a165b9ddbf260478f924827374a73c,https://tokensniffer.com/token/8lu6u3ahv0x03a1dx96uk1jh22juznkdlxgo5sqvizhns8ovnq0iqs4l9q0b?h=5573
Mrs Piglet,MRSPIGGY,BSC,0xaa8b5f4b5d9bde22040d4f511819a4eb13df590a,04 Feb 2022 03:03:29 GMT ,https://bscscan.com/token/0xaa8b5f4b5d9bde22040d4f511819a4eb13df590a,https://tokensniffer.com/contract/0xaa8b5f4b5d9bde22040d4f511819a4eb13df590a,https://tokensniffer.com/token/9449vju1z5psfj12hj32uannxsx2szo3g551f663v6h9esao3ju602z1mhx9?h=5129
RedLambo,REDLAMBO,BSC,0x1b94576a6c145187b720da87dce7cffa754db22f,04 Feb 2022 03:01:53 GMT ,https://bscscan.com/token/0x1b94576a6c145187b720da87dce7cffa754db22f,https://tokensniffer.com/contract/0x1b94576a6c145187b720da87dce7cffa754db22f,https://tokensniffer.com/token/6jh5s1qk9k3b6s16m3vgeqjq8nx29mvq2lpbl4a8qb5zfdcuz9q1spm2jnnz?h=5493
Olympic Rings,OLYMPIC RINGS,BSC,0xfe96c8da38aaca889df8e973d8a6814423a53aaf,04 Feb 2022 02:54:56 GMT ,https://bscscan.com/token/0xfe96c8da38aaca889df8e973d8a6814423a53aaf,https://tokensniffer.com/contract/0xfe96c8da38aaca889df8e973d8a6814423a53aaf,https://tokensniffer.com/token/zafhkbv2el9f0v99b9v5vdh2zvahiiq0l2v9ckmpvof86sms8n0g91g0499z?h=5358
CupidShiba,CUPIDSHIBA,BSC,0x87e5756192e91b86a80a86fe36594ec8a8d58ac3,04 Feb 2022 02:37:14 GMT ,https://bscscan.com/token/0x87e5756192e91b86a80a86fe36594ec8a8d58ac3,https://tokensniffer.com/contract/0x87e5756192e91b86a80a86fe36594ec8a8d58ac3,https://tokensniffer.com/token/lvqma1q31k6mhnah86jvk9vx9v8kzoao5o08k5mf1hs3a5bv9vi321ev89b0?h=5239
雪容融,XUERONGRONG,BSC,0xf3522558f74685df04aa34c175b8fc173df104fa,03 Feb 2022 04:55:24 GMT ,https://bscscan.com/token/0xf3522558f74685df04aa34c175b8fc173df104fa,https://tokensniffer.com/contract/0xf3522558f74685df04aa34c175b8fc173df104fa,https://tokensniffer.com/token/z0l1non1e1vdzqls8ek4dv12zxs94908s5b6pqi1jvc3zmb6qm02z6xspzo9?h=5382
Lazy Cupid,LAZY,BSC,0x9ed5e67d220e2ae950f7af62682426106fe821dd,04 Feb 2022 02:32:02 GMT ,https://bscscan.com/token/0x9ed5e67d220e2ae950f7af62682426106fe821dd,https://tokensniffer.com/contract/0x9ed5e67d220e2ae950f7af62682426106fe821dd,https://tokensniffer.com/token/halfe21fak85qd2n5onxiand8fc9u3ah1xzuq9zknk5vensnk6xkzavn62f2?h=5610
